"","1 run","5 runs","10 runs","25 runs","50 runs","100 runs","250 runs","500 runs","1000 runs"
"2043",8,9,7,4,5,8,8,9,5
"2044",9,8,7,7,9,9,9,8,8
"2045",5,8,7,7,7,8,7,9,9
"2046",9,8,9,9,9,9,9,8,8
"2047",5,8,7,7,7,8,7,9,9
"2048",9,8,9,9,9,9,9,8,8
"2049",8,9,8,4,5,5,8,6,5
"2050",9,8,9,9,9,9,9,8,8
"2051",8,9,8,4,5,5,8,6,5
"2052",9,8,9,9,9,9,9,8,8
"2053",5,9,7,7,7,8,7,9,9
"2054",5,8,7,7,7,8,7,9,9
"2055",5,9,7,7,7,8,7,9,9
"2056",8,9,8,4,5,5,8,6,5
"2057",5,8,7,7,7,9,7,8,9
"2058",5,9,7,7,7,8,7,9,9
"2059",5,9,7,4,5,8,8,9,5
"2060",9,8,9,9,9,9,9,8,8
"2061",9,8,9,9,9,9,9,8,8
"2062",5,8,7,7,7,9,7,8,8
"2063",8,9,8,4,5,5,8,6,5
"2064",5,9,7,7,7,8,7,9,9
"2065",8,9,8,4,5,5,8,6,5
"2066",5,9,7,4,5,5,7,6,5
"2067",5,9,7,7,7,8,7,9,9
"2068",8,9,8,4,5,5,8,6,5
"2069",5,9,7,4,7,8,7,9,5
"2070",5,9,7,7,7,8,7,9,9
"2071",5,9,7,7,7,8,7,9,9
"2072",9,8,9,9,9,9,9,8,8
"2073",5,8,7,7,7,8,7,9,9
"2074",5,8,7,7,7,8,7,9,9
"2075",5,8,7,7,7,8,7,9,9
"2076",9,8,9,9,9,9,9,8,8
"2077",8,9,8,4,5,5,8,6,5
"2078",8,9,8,4,5,5,8,6,5
"2079",9,8,9,9,9,9,9,8,8
"2080",9,8,9,9,9,9,9,8,8
"2081",5,6,5,4,5,5,5,6,5
"2082",9,8,9,9,9,9,9,8,8
"2083",5,9,7,7,7,8,7,9,9
"2084",8,9,8,4,5,5,8,6,5
"2085",5,9,7,7,7,8,7,9,9
"2086",9,8,9,9,9,9,9,8,8
"2087",5,8,7,7,7,8,7,8,8
"2088",8,9,8,4,5,5,8,6,5
"2089",5,9,7,7,7,8,7,9,9
"2090",5,9,7,7,7,8,7,9,9
"2091",5,8,7,7,7,8,7,9,9
"2092",5,6,7,4,7,5,7,6,5
"2093",5,9,7,4,5,8,7,9,9
"2094",9,8,9,7,9,9,9,8,8
"2095",5,9,7,7,7,8,7,9,9
"2096",5,8,9,7,9,9,9,8,8
"2097",5,9,7,7,7,8,7,9,9
"2098",5,9,7,4,5,5,7,9,5
"2099",5,9,7,7,7,8,7,9,9
"2100",5,9,7,7,7,8,7,9,9
"2101",5,9,7,4,7,8,7,9,5
"2102",5,8,7,7,7,8,7,8,8
"2103",5,9,7,7,7,8,7,9,9
"2104",9,8,9,9,9,9,9,8,8
"2105",9,8,9,7,9,9,9,8,8
"2106",5,8,7,7,7,9,9,8,8
"2107",5,9,8,4,5,5,7,6,5
"2108",5,9,7,7,7,8,7,9,9
"2109",5,9,7,7,7,8,7,9,9
"2110",5,9,7,7,7,8,7,9,9
"2111",5,9,7,7,7,8,7,9,9
"2112",9,8,9,9,9,9,9,8,8
"2113",6,6,5,4,5,5,8,6,5
"2114",5,9,7,7,7,8,7,9,9
"2115",5,9,7,7,7,8,7,9,9
"2116",5,9,7,7,7,8,7,9,9
"2117",5,9,7,4,5,8,7,9,5
"2118",5,9,7,7,7,8,7,9,9
"2119",5,9,7,4,5,8,7,9,5
"2120",6,6,5,4,5,5,8,6,5
"2121",5,9,7,7,7,8,7,9,9
"2122",5,6,5,4,5,5,5,6,5
"2123",5,9,7,7,7,8,7,9,9
"2124",6,6,5,4,5,5,8,6,5
"2125",6,6,5,4,5,5,8,6,5
"2126",6,6,5,4,5,5,8,6,5
"2127",5,9,7,7,7,8,7,9,9
"2128",5,9,7,7,7,8,7,9,9
"2129",5,9,7,7,7,8,7,9,9
"2130",5,9,7,7,7,8,7,9,9
"2131",5,9,7,4,5,5,7,9,5
"2132",6,6,5,4,5,5,8,6,5
"2133",5,9,7,4,5,8,8,9,5
"2134",5,9,7,7,7,8,7,9,9
"2135",5,9,7,7,7,8,7,9,9
"2136",5,9,7,4,5,8,7,9,5
"2137",5,9,7,7,7,8,7,9,9
